measure,location,sex,age,cause,metric,year,val,upper,lower
Deaths,Russian Federation,Male,All ages,Self-harm and interpersonal violence,Rate,1994,166.18937936364148,168.71012592142088,160.6196695251012
Deaths,Russian Federation,Female,All ages,Self-harm and interpersonal violence,Rate,1994,36.816521528617486,37.450849770907155,35.06996128159017
Deaths,Russian Federation,Male,All ages,Transport injuries,Rate,1991,45.035805381695354,49.3326502561229,43.792766087589236
Deaths,Russian Federation,Female,All ages,Transport injuries,Rate,1991,12.338471058316367,13.303346798648978,11.960843948279235
Deaths,Russian Federation,Male,All ages,Total cancers,Rate,1995,266.26679956964017,276.4544474946571,261.95707675513785
Deaths,Russian Federation,Female,All ages,Total cancers,Rate,1995,180.31734749194965,184.37668548851104,175.78510147470098
Deaths,Russian Federation,Male,All ages,Unintentional injuries,Rate,1995,126.30467443119967,132.21272125397982,124.36669811622129
Deaths,Russian Federation,Female,All ages,Unintentional injuries,Rate,1995,30.8916906525146,31.67340725269025,30.310412142479052
Deaths,Russian Federation,Male,All ages,Unintentional injuries,Rate,1994,131.37508362412285,140.4994885504023,128.69471648078252
Deaths,Russian Federation,Female,All ages,Unintentional injuries,Rate,1994,31.820580532880317,32.76084157923564,31.18365616849898
Deaths,Russian Federation,Male,All ages,Total cancers,Rate,1994,285.86384883098196,304.6384391020959,279.193195428748
Deaths,Russian Federation,Female,All ages,Total cancers,Rate,1994,187.97522629035134,193.08682698044686,182.37887035576614
Deaths,Russian Federation,Male,All ages,All causes,Rate,1994,1724.7858030724547,1728.1356098831593,1721.5385149676729
Deaths,Russian Federation,Female,All ages,All causes,Rate,1994,1330.8339479872905,1334.7002258625487,1327.060073148164
Deaths,Russian Federation,Male,All ages,Total cancers,Rate,1993,267.93850982834425,279.51156352896083,263.21669105137966
Deaths,Russian Federation,Female,All ages,Total cancers,Rate,1993,179.0843386523579,183.54610178304733,174.45356994562215
Deaths,Russian Federation,Male,All ages,All causes,Rate,1995,1651.9944210869855,1655.3085233047982,1648.6438271957948
Deaths,Russian Federation,Female,All ages,All causes,Rate,1995,1285.2978794699432,1288.9735888948342,1281.58125877602
Deaths,Russian Federation,Male,All ages,Transport injuries,Rate,1995,51.71366939388045,53.229610175679255,47.03430813758687
Deaths,Russian Federation,Female,All ages,Transport injuries,Rate,1995,14.544876277709346,14.837206647945408,13.6992082659446
Deaths,Russian Federation,Male,All ages,All causes,Rate,1996,1534.2493616015015,1537.6513330894245,1530.7236114515417
Deaths,Russian Federation,Female,All ages,All causes,Rate,1996,1235.9453674188894,1239.9279720441061,1231.951302920266
Deaths,Russian Federation,Male,All ages,Transport injuries,Rate,1996,45.23907574569657,45.96950029117826,43.81871649081591
Deaths,Russian Federation,Female,All ages,Transport injuries,Rate,1996,13.281161050789713,13.465381057098023,13.013921884143793
Deaths,Russian Federation,Male,All ages,Self-harm and interpersonal violence,Rate,1996,146.16142241444982,147.6613083914035,144.82064312385165
