measure,location,sex,age,cause,metric,year,val,upper,lower
Deaths,Russian Federation,Male,All ages,Non-communicable diseases,Rate,1997,1088.2433228216128,1093.2748228996666,1084.0924925882484
Deaths,Russian Federation,Female,All ages,Non-communicable diseases,Rate,1997,1105.7826526252325,1109.7632533844255,1101.688288277099
Deaths,Russian Federation,Male,All ages,Total cancers,Rate,1997,227.88574856672912,232.29174692192342,220.95088886193776
Deaths,Russian Federation,Female,All ages,Total cancers,Rate,1997,165.20303778247387,167.53853959238526,161.2648583316708
Deaths,Russian Federation,Male,All ages,Non-communicable diseases,Rate,1998,1083.8337491063496,1089.293200183359,1078.741393991562
Deaths,Russian Federation,Female,All ages,Non-communicable diseases,Rate,1998,1098.5227969970747,1102.756294115803,1094.370228658662
Deaths,Russian Federation,Male,All ages,Non-communicable diseases,Rate,1995,1227.0333549271818,1233.3751123677014,1222.0352812856443
Deaths,Russian Federation,Female,All ages,Non-communicable diseases,Rate,1995,1174.7740243096782,1178.57282569683,1170.7857754354518
Deaths,Russian Federation,Male,All ages,Injuries,Rate,1998,267.2540567681403,271.44449437986214,264.976048647437
Deaths,Russian Federation,Female,All ages,Injuries,Rate,1998,68.06538628022972,69.7434585120147,66.94873298422
Deaths,Russian Federation,Male,All ages,"Communicable, maternal, neonatal, and nutritional diseases",Rate,1998,73.12978714766056,75.09840627622549,69.53887021111186
Deaths,Russian Federation,Female,All ages,"Communicable, maternal, neonatal, and nutritional diseases",Rate,1998,25.74603949792012,26.80192534472131,25.0337674179152
Deaths,Russian Federation,Male,All ages,Total cancers,Rate,1999,236.92436884380913,240.91402312368385,232.85424112817074
Deaths,Russian Federation,Female,All ages,Total cancers,Rate,1999,169.99061129666583,172.25557643181375,165.84605637292884
Deaths,Russian Federation,Male,All ages,Non-communicable diseases,Rate,2000,1267.2672418648408,1270.6281152647787,1263.5004546045425
Deaths,Russian Federation,Female,All ages,Non-communicable diseases,Rate,2000,1191.5815926677913,1195.6647991706486,1187.6134305453359
Deaths,Russian Federation,Male,All ages,Total cancers,Rate,1998,222.4516431443541,227.12499668424854,213.71414539204233
Deaths,Russian Federation,Female,All ages,Total cancers,Rate,1998,162.65335677054935,165.50713378100426,158.19170346777648
